id,url,title,header,text
9d9054c0-bdbf-4321-8e42-be12915c6220,https://examine.com/categories/autoimmune-disease/,Autoimmune Disease,What is autoimmune disease?,"Our immune system keeps us healthy by fighting off invading pathogens while simultaneously sparing our own cells and tissues. In healthy people, the immune system is able to distinguish between the self and nonself, a concept called self-tolerance. When the body is functioning properly, the immune system maintains self-tolerance while working in the background to protect the body from infections.In people with autoimmune disease, self-tolerance does not function correctly, causing the body to turn the powerful weapons of the immune system against self molecules, causinginflammationand injury. Autoimmune disease can be systemic, affecting multiple parts of the body, such as in diseases likesystemic lupus erythematosus(SLE). They can also be organ-specific, such as intype 1 diabetes, where the immune system targets and destroys theinsulin-producing cells of the pancreas."
88319419-7d2d-44da-9600-dc2deee7280a,https://examine.com/categories/autoimmune-disease/,Autoimmune Disease,How could diet affect autoimmune disease?,"Preclinical studies show that dietary interventions, such as elimination diets and calorie restriction in various forms (e.g., chronic caloric restriction, time-restricted feeding (TRF), andintermittent fasting, etc.) can potentially have beneficial effects on the immune system. However, more human trials are still needed to provide a better understanding of when, and in whom, these interventions are effective. It is also important to keep in mind that the efficacy and safety of diet interventions will likely vary from person to person, with some potentially being harmful for certain people.Metabolic status in the body is intimately connected to immune function. For example, undernourished people tend to be more susceptible to infections, while the nutrient excess associated with the Western diet may be associated with increased risk of autoimmunity.[1]This suggests that in the future, appropriate diet interventions could potentially help to reduce disease activity in people with active disease, or even lessen disease risk in those who are susceptible."
76d97adc-8449-4a87-b3ff-6a4c0f91e253,https://examine.com/categories/autoimmune-disease/,Autoimmune Disease,Which supplements are of most interest for autoimmune disease?,"Many supplements, particularly those with antioxidant or anti-inflammatory activity, have been investigated for their ability to reduce the severity or incidence of autoimmune disease. To date, some of the more promising evidence is forvitamin Dandfish oil, which were linked to reduced incidence of autoimmunity in a large randomized controlled trial.[2]Further research is needed to better understand the way that supplements may affect the incidence or severity of autoimmunity in different people."
ceeff9bb-8f9c-46df-aa6c-499d6686b56e,https://examine.com/conditions/celiac-disease,Celiac Disease,What is celiac disease?,"Celiac disease, also calledgluten-sensitive enteropathy, is an immune disorder that causes damage to the small intestine.[1]Although celiac disease has some symptoms in common with gluten sensitivity and wheat allergies, only celiac disease damages thegastrointestinal(GI) tract. In addition to causing a range of GI symptoms, celiac disease can also affect multiple organ systems in the body.[2]Although celiac disease is sometimes considered to be an autoimmune disorder, based on the production of autoantibodies and other features associated withautoimmune disease,[3]it is not clear whether autoimmunity plays a major role in damaging the small intestine.[4]"
1ec67018-c18e-4ac4-9a5e-9fe117119d56,https://examine.com/conditions/celiac-disease,Celiac Disease,What are the main signs and symptoms of celiac disease?,"Damage to the small intestine caused by celiac disease can lead to an array of symptoms in different individuals.[5]The main symptoms can include any of the following:Abdominal painNausea or vomitingGasConstipationChronic diarrheaAbnormal stoolsLactose intolerancePeople with celiac disease may also experience symptoms in other parts of the body, including the following:FatigueBone or joint painMental health problems, such as depression or anxietyInfertilityDelayed menstrual cycleNervous system problems, such as impaired balance, headaches, peripheral neuropathy, or seizuresDermatitis herpetiformis(DH), an itchy, blistering skin rash
These other symptoms can be due to micronutrient deficiencies from malabsorption (caused by damage to the small intestine) or, in the case of DH, an autoimmune reaction to gluten ingestion."
fc6325c7-4733-46ed-b6ee-b1e3c18a3ad3,https://examine.com/conditions/celiac-disease,Celiac Disease,How is celiac disease diagnosed?,"Since celiac disease has symptoms that are common with other digestive disorders such as irritable bowel syndrome, a physical exam alone isn’t enough to diagnose the disease. Doctors will also review the patient’s family medical history to determine whether anybody has been diagnosed with celiac disease. Genetic testing is also often performed to look for gene variants linked to increased disease risk. The only way to confirm a diagnosis of celiac disease is through the detection of specific antibodies in the blood and confirmation of damage tovilli(tiny nutrient-absorbing structures) in the small intestine through a biopsy.[5]It is important to note that a positive diagnosis is only possible after gluten exposure for several weeks before the test. People on gluten-free diets may be advised by their physician to start a “gluten challenge,” which involves several weeks of continuous gluten exposure, since elimination of gluten from the diet can lead to a false-negative diagnosis.[6]"
3a37470a-972f-4b9c-8808-189f1686e45e,https://examine.com/conditions/celiac-disease,Celiac Disease,What are some of the main medical treatments for celiac disease?,"Since celiac disease is triggered bygluten, the main treatment is a gluten-free diet. Eliminating gluten exposure allows the small intestine to heal, improving symptoms over time. Although symptoms can improve within days to weeks after starting a gluten-free diet, some, such as dermatitis herpetiformis, are not resolved for up to 2 years. Steroids and other immunosuppressants can also be used to help relieve symptoms while the small intestine heals."
05f22820-4fec-4864-af86-f6a71918f8ee,https://examine.com/conditions/celiac-disease,Celiac Disease,Have any supplements been studied for celiac disease?,"The main supplements recommended for celiac disease are micronutrients, since damage to the small intestinal reduces their absorption. Deficiencies invitamin B6,vitamin B12,iron,folic acid,vitamin D,copper,zinc, andmagnesiumare common in people with celiac disease.[7]Gluten-free foods also tend to provide lower levels of magnesium, possibly warranting supplementation if insufficient levels are obtained through the diet after small intestinal damage has healed.[8]Probiotics have also been studied, since celiac disease is associated with changes in the gut microbiome.[9]Omega-3 fatty acid supplements have additionally been researched for their ability to reduce inflammation in celiac disease.[10]"
127f5a55-813a-453a-85ba-bbe7d2e77fca,https://examine.com/conditions/celiac-disease,Celiac Disease,How could diet affect celiac disease?,"Since celiac disease is triggered by gluten exposure, it is essential to eliminate gluten from the diet. This rules out any foods that contain wheat, barley, rye, triticale (a cross between wheat and rye), kamut, or farro; this includes semolina, couscous, most cereals, pasta, beers, breads, crackers, wraps, and baked goods. People with celiac disease also need to be careful to avoid hidden exposure to gluten, which can occur with processed foods. For example, processed foods based on corn or rice (neither of which contain gluten) could contain trace amounts of contaminating gluten if they were produced in factories that also make wheat products."
0a125c81-10e1-48b7-9ba3-3f04a4364875,https://examine.com/conditions/celiac-disease,Celiac Disease,Are there any other treatments for celiac disease?,"Gluten-free diets can be tough to adhere to, creating a large interest in non-dietary therapies. Drug therapies that target various mechanisms of the disease process are under development. Some promising candidates are currently undergoing clinical trials, but none have been approved so far.[11]"
